Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
277.0,Brandon Williams,25.0,DAL,PG,26.0,2.0,13.5,2.6,5.0,0.515,0.7,1.9,0.38,1.8,3.1,0.6,0.588,1.3,1.6,0.854,0.2,1.3,1.5,2.0,0.6,0.1,0.9,0.8,7.2,,willibr03
278.0,Jared Rhoden,25.0,2TM,SG,10.0,2.0,15.9,2.4,6.0,0.4,0.8,2.8,0.286,1.6,3.2,0.5,0.467,1.5,1.8,0.833,1.1,1.9,3.0,0.8,0.7,0.2,0.7,1.3,7.1,,rhodeja01
278.0,Jared Rhoden,25.0,CHO,SG,4.0,0.0,3.0,0.5,2.0,0.25,0.0,0.5,0.0,0.5,1.5,0.333,0.25,0.0,0.0,,0.5,0.5,1.0,0.5,0.3,0.0,0.3,0.3,1.0,,rhodeja01
278.0,Jared Rhoden,25.0,TOR,SG,6.0,2.0,24.5,3.7,8.7,0.423,1.3,4.3,0.308,2.3,4.3,0.538,0.5,2.5,3.0,0.833,1.5,2.8,4.3,1.0,1.0,0.3,1.0,2.0,11.2,,rhodeja01
280.0,Jordan Goodwin,26.0,LAL,PG,14.0,3.0,21.1,2.9,5.6,0.513,1.2,2.7,0.447,1.6,2.9,0.575,0.622,0.1,0.2,0.667,1.6,2.6,4.1,1.2,1.1,0.5,0.7,1.9,7.1,,goodwjo01
281.0,KJ Simpson,22.0,CHO,PG,23.0,4.0,20.4,2.6,7.7,0.335,0.7,3.2,0.216,1.9,4.4,0.422,0.381,1.3,1.6,0.811,1.2,1.7,2.9,2.6,0.8,0.2,1.4,1.5,7.1,,simpskj01
284.0,Marcus Garrett,26.0,CHO,SG,4.0,0.0,19.8,2.8,6.8,0.407,0.8,2.0,0.375,2.0,4.8,0.421,0.463,0.8,1.0,0.75,0.3,1.3,1.5,3.3,0.8,0.5,1.5,2.5,7.0,,garrema01
285.0,Isaiah Jackson,23.0,IND,C,5.0,1.0,16.8,2.8,4.6,0.609,0.0,0.0,,2.8,4.6,0.609,0.609,1.4,2.8,0.5,2.2,3.4,5.6,1.0,0.6,1.6,1.0,2.8,7.0,,jacksis01
286.0,Vit Krejci,24.0,ATL,PG,44.0,15.0,20.8,2.5,5.4,0.452,1.5,3.8,0.395,1.0,1.6,0.583,0.59,0.5,0.8,0.686,0.4,2.3,2.6,2.6,0.7,0.5,0.9,1.9,7.0,,krejcvi01
289.0,Jay Huff,26.0,MEM,C,54.0,2.0,11.8,2.4,4.7,0.512,1.3,3.2,0.413,1.1,1.6,0.714,0.65,0.7,0.9,0.771,0.4,1.6,2.1,0.6,0.2,0.9,0.5,1.2,6.9,,huffja01
