Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,-9999
96,Keyonte George,21,UTA,PG,54,32,1693,99,1,0,0,0,-10.6,-6.1,84,44,35,6,105,16,761,27,52,,georgke01
97,Klay Thompson,34,DAL,SF,61,61,1691,0,14,75,11,0,-0.3,0.2,48,16,41,6,26,2,306,7,19,,thompkl01
98,Cameron Johnson,28,BRK,PF,53,53,1689,0,7,34,49,10,-5.8,1.6,48,31,44,5,74,8,415,15,35,,johnsca02
99,Andrew Wiggins,29,2TM,SF,54,54,1665,0,9,65,26,0,-4.2,-8.7,28,42,48,7,111,7,337,27,61,,wiggian01
99,Andrew Wiggins,29,GSW,SF,43,43,1296,0,3,66,31,0,-1.8,-7.6,16,30,38,5,86,5,259,20,49,,wiggian01
99,Andrew Wiggins,29,MIA,SF,11,11,369,1,28,63,8,0,-12.6,-12.3,12,12,10,2,25,2,78,7,12,,wiggian01
100,Onyeka Okongwu,24,ATL,C,62,28,1658,0,0,0,0,100,0.3,4.8,26,18,96,13,84,0,325,21,44,,okongon01
101,Kyshawn George,21,WAS,SG,61,31,1657,1,67,32,1,0,-8.9,5.3,39,31,109,9,34,6,360,6,30,,georgky01
102,Franz Wagner,23,ORL,SF,49,49,1653,0,1,64,34,0,4.4,12.7,50,47,58,7,119,18,545,16,66,,wagnefr01
103,Guerschon Yabusele,29,PHI,C,62,35,1651,0,0,0,26,74,-2.5,5.2,22,29,67,17,50,12,296,11,25,,yabusgu01
104,Scoot Henderson,20,POR,PG,61,9,1642,100,0,0,0,0,-0.6,6.6,93,50,69,11,84,8,731,14,41,,hendesc01
105,Nic Claxton,25,BRK,C,60,52,1635,0,0,0,1,99,-11.8,-10.3,22,16,46,22,58,6,330,10,27,,claxtni01
