Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
12,Shai Gilgeous-Alexander,26,OKC,PG,66,66,2268,15.9,30.3,.526,3.0,8.1,.371,12.9,22.1,.582,.575,11.3,12.6,.901,1.3,5.8,7.1,8.7,2.5,1.5,3.6,3.1,46.2,130,107,,gilgesh01
13,Nikola Jokić,29,DEN,C,62,62,2263,14.6,25.4,.575,2.5,6.0,.413,12.1,19.5,.624,.623,6.5,8.1,.807,3.8,13.1,16.9,13.5,2.3,0.9,4.3,3.0,38.3,133,110,,jokicni01
14,Cade Cunningham,23,DET,PG,64,64,2247,12.9,28.0,.461,2.9,8.3,.350,10.0,19.7,.508,.513,6.2,7.2,.861,1.0,7.2,8.2,12.6,1.4,1.0,6.1,3.8,35.0,111,112,,cunnica01
15,Christian Braun,23,DEN,SG,67,65,2243,8.5,14.8,.572,1.6,4.0,.390,6.9,10.8,.640,.625,3.2,3.9,.826,1.8,5.5,7.2,3.5,1.6,0.7,1.4,3.1,21.7,132,117,,braunch01
16,De'Aaron Fox,27,2TM,PG,62,62,2241,11.7,25.2,.463,2.6,8.2,.310,9.1,16.9,.538,.514,5.7,6.9,.827,1.2,5.3,6.5,8.5,2.0,0.5,3.8,3.6,31.6,113,117,,foxde01
16,De'Aaron Fox,27,SAC,PG,45,45,1663,12.1,25.8,.469,2.7,8.4,.322,9.4,17.4,.539,.521,6.0,7.2,.829,1.3,5.3,6.6,8.1,1.9,0.6,3.9,3.4,32.8,113,116,,foxde01
16,De'Aaron Fox,27,SAS,PG,17,17,578,10.4,23.4,.446,2.2,7.9,.274,8.3,15.5,.535,.493,4.9,6.0,.819,0.8,5.3,6.1,9.7,2.1,0.4,3.4,3.8,28.0,111,118,,foxde01
17,OG Anunoby,27,NYK,PF,61,61,2237,8.3,17.8,.465,3.0,8.1,.364,5.3,9.7,.549,.548,2.9,3.7,.795,1.8,4.6,6.5,2.9,1.9,1.2,1.8,3.1,22.4,116,115,,anunoog01
18,Michael Porter Jr.,26,DEN,SF,66,66,2231,9.8,19.6,.502,3.6,9.0,.398,6.3,10.6,.590,.593,2.7,3.6,.754,2.6,7.4,10.0,3.0,0.9,0.6,1.8,2.8,26.0,122,118,,portemi01
19,DeMar DeRozan,35,SAC,SF,62,62,2221,11.0,22.5,.486,1.5,4.2,.356,9.5,18.3,.517,.520,6.6,7.6,.873,0.9,4.6,5.4,5.6,1.2,0.5,1.9,2.6,30.1,121,118,,derozde01
20,Jamal Murray,27,DEN,PG,61,61,2220,10.4,22.0,.474,3.1,7.9,.397,7.3,14.1,.518,.546,4.3,4.9,.889,0.9,4.1,5.0,8.0,1.9,0.7,2.7,2.5,28.3,120,117,,murraja01
21,Keegan Murray,24,SAC,PF,64,64,2216,6.7,15.2,.440,2.7,8.2,.333,4.0,7.0,.564,.530,1.2,1.4,.833,2.8,6.7,9.5,2.0,1.1,1.2,1.2,3.6,17.3,115,116,,murrake02
22,Derrick White,30,BOS,SG,65,65,2199,8.4,18.9,.442,5.2,13.4,.386,3.2,5.6,.576,.578,2.7,3.2,.850,1.3,5.1,6.4,6.5,1.4,1.6,2.4,2.7,24.6,123,113,,whitede01
