Player,ORtg,DRtg,NRtg,On-Off,WS,BPM,NRtg/A,PG%,SG%,SF%,PF%,C%,3PAr,FTr
Jaxson Hayes,119.67,107.3,12.37,7.4,3.0,0.4,12.42,0,0,0,1,99,0.012,0.463
Jay Huff,119.67,107.3,12.37,-7.3,2.2,3.6,12.42,0,0,0,4,96,0.672,0.188
Jaylen Brown,119.67,107.3,12.37,0.0,4.5,-0.2,12.42,0,28,69,4,0,0.316,0.287
Jaylen Nowell,119.67,107.3,12.37,-4.1,-0.2,-5.8,12.42,95,6,0,0,0,0.37,0.151
Jaylen Wells,119.67,107.3,12.37,-4.5,3.2,-2.2,12.42,0,23,69,8,0,0.575,0.19
Jaylin Williams,119.67,107.3,12.37,4.2,2.2,2.9,12.42,0,0,1,24,76,0.711,0.11
Jaylon Tyson,119.67,107.3,12.37,-11.5,0.8,-2.7,12.42,0,22,44,34,0,0.396,0.189
Jayson Tatum,119.67,107.3,12.37,1.3,8.4,5.4,12.42,0,9,44,47,0,0.503,0.307
Jeff Green,119.67,107.3,12.37,-6.9,1.0,-0.1,12.42,0,1,20,58,21,0.611,0.189
Jerami Grant,119.67,107.3,12.37,-4.3,1.7,-1.7,12.42,0,0,62,35,4,0.516,0.289
Jeremiah Robinson-Earl,119.67,107.3,12.37,-5.1,1.5,-2.4,12.42,0,0,1,77,22,0.466,0.177
Jeremy Sochan,119.67,107.3,12.37,0.3,2.6,-0.5,12.42,0,0,0,65,35,0.191,0.266
Jericho Sims,119.67,107.3,12.37,-0.8,1.3,-3.1,12.42,0,0,0,7,93,0.0,0.183
Jett Howard,119.67,107.3,12.37,-6.0,0.2,-4.5,12.42,0,28,47,22,2,0.722,0.087
Jevon Carter,119.67,107.3,12.37,3.0,0.3,-1.2,12.42,92,8,0,0,0,0.722,0.103
Jimmy Butler,119.67,107.3,12.37,7.5,6.0,4.1,12.42,0,1,39,60,0,0.155,0.63
Jock Landale,119.67,107.3,12.37,-9.0,1.1,-0.4,12.42,0,0,0,1,99,0.147,0.302
Joe Ingles,119.67,107.3,12.37,-10.5,0.0,-5.3,12.42,0,27,69,4,0,0.65,0.0
Joel Embiid,119.67,107.3,12.37,-0.3,1.5,3.5,12.42,0,0,0,0,100,0.244,0.537
John Collins,119.67,107.3,12.37,11.4,2.7,1.1,12.42,0,0,43,55,3,0.279,0.309
John Konchar,119.67,107.3,12.37,-0.6,1.1,0.6,12.42,5,63,30,2,0,0.693,0.107
Johnny Davis,119.67,107.3,12.37,7.0,0.1,-2.8,12.42,6,67,27,0,0,0.372,0.192
Johnny Furphy,119.67,107.3,12.37,-4.7,0.3,-3.0,12.42,3,65,32,0,0,0.571,0.143
Johnny Juzang,119.67,107.3,12.37,-4.4,1.3,-2.6,12.42,1,35,60,5,0,0.681,0.135
Jonas Valančiūnas,119.67,107.3,12.37,-4.4,3.6,0.8,12.42,0,0,0,0,100,0.059,0.263
Jonathan Isaac,119.67,107.3,12.37,-2.7,2.9,0.6,12.42,0,0,7,81,12,0.491,0.317
Jonathan Kuminga,119.67,107.3,12.37,-3.2,1.6,-0.1,12.42,0,0,9,57,34,0.262,0.422
Jonathan Mogbo,119.67,107.3,12.37,-7.9,1.3,-1.9,12.42,0,0,0,38,62,0.203,0.277
Jordan Clarkson,119.67,107.3,12.37,-4.9,0.8,-1.0,12.42,3,78,19,0,0,0.469,0.291
Jordan Hawkins,119.67,107.3,12.37,-5.9,-0.5,-5.3,12.42,7,50,38,5,0,0.588,0.165
Jordan McLaughlin,119.67,107.3,12.37,8.5,0.4,-1.6,12.42,100,0,0,0,0,0.6,0.38
Jordan Poole,119.67,107.3,12.37,-5.1,1.6,0.2,12.42,35,62,3,0,0,0.58,0.266
Jordan Walsh,119.67,107.3,12.37,-1.0,0.4,-3.3,12.42,0,36,47,17,0,0.677,0.185
Jose Alvarado,119.67,107.3,12.37,3.1,1.7,-0.5,12.42,100,0,0,0,0,0.625,0.131
Josh Giddey,119.67,107.3,12.37,0.8,3.9,2.2,12.42,66,33,1,0,0,0.36,0.252
Josh Green,119.67,107.3,12.37,-2.8,1.5,-4.3,12.42,1,50,45,4,0,0.59,0.166
Josh Hart,119.67,107.3,12.37,-1.0,7.9,3.0,12.42,0,66,32,3,0,0.325,0.273
Josh Minott,119.67,107.3,12.37,-11.6,0.5,0.1,12.42,0,6,60,34,0,0.449,0.167
Josh Okogie,119.67,107.3,12.37,8.1,1.1,1.9,12.42,1,35,56,8,0,0.389,0.305
