Player,2024-25,2025-26,Guaranteed
Malik Monk,$17405203,$18797619,$56392857
MarJon Beauchamp,$2733720,,$2733720
Marcus Sasser,$2755080,$2886720,$5641800
Marcus Smart,$20210284,$21586855,$41797139
Mark Williams,$4094280,$6276531,$10370811
Markelle Fultz,$731831,,$731831
Markieff Morris,$2087519,,$2087519
Marvin Bagley III,$12500000,,$12500000
Mason Plumlee,$2087519,,$2087519
Matas Buzelis,$5195520,$5455560,$10651080
Matisse Thybulle,$11025000,$11550000,$11025000
Matt Ryan,$621439,,$621439
Max Christie,$7142857,$7714286,$23142857
Max Strus,$15212068,$15936452,$47809356
Maxi Kleber,$11000000,$11000000,$22000000
Maxwell Lewis,$1891857,$2221677,$1891857
Michael Porter Jr.,$35859950,$38333050,$86193000
Mikal Bridges,$23300000,$24900000,$48200000
Mike Conley,$9975962,$10774038,$20750000
Miles Bridges,$27173913,$25000000,$75000000
Miles McBride,$4710144,$4333333,$13000000
Mitchell Robinson,$14318182,$12954546,$27272728
Mo Bamba,$2087519,,$2087519
Monte Morris,$2087519,,$2087519
Moritz Wagner,$11000000,$11000000,$11000000
Moses Brown,$306660,,$306660
Moses Moody,$5803269,$11574075,$43303269
Mouhamed Gueye,$1891857,$2221677,$1891857
Moussa Diabaté,$957763,$2270735,$957763
Myles Turner,$19928500,,$19928500
Naji Marshall,$8571429,$9000000,$27000000
Naz Reid,$13986432,$15022464,$13986432
Neemias Queta,$2162606,$2349578,$2162606
Nic Claxton,$27556817,$25352272,$97000000
Nick Richards,$5000000,$5000000,$5000000
Nick Smith Jr.,$2587200,$2710680,$5297880
Nickeil Alexander-Walker,$4312500,,$4312500
Nicolas Batum,$4668000,$4901400,$4668000
Nikola Jokić,$51415938,$55224526,$165673578
Nikola Jović,$2464200,$4445417,$6909617
Nikola Vučević,$20000000,$21481481,$41481481
Noah Clowney,$3244080,$3398640,$6642720
Norman Powell,$19241379,$20482758,$39724137
OG Anunoby,$36637932,$39568966,$164137932
Obi Toppin,$12975000,$14000000,$58000000
Ochai Agbaji,$4310280,$6383525,$10693805
Olivier-Maxence Prosper,$2870400,$3007080,$5877480
Onyeka Okongwu,$14000000,$15000000,$62000000
Orlando Robinson,$1199723,,$959779
Oso Ighodaro,$1157153,$1955377,$3112530
Ousmane Dieng,$5027040,$6670882,$11697922
P.J. Washington,$15500000,$14152174,$29652174
PJ Dozier,$1051255,,$1051255
Pacome Dadiet,$1808080,$2847600,$4655680
Paolo Banchero,$12160800,$15334769,$27495569
Pascal Siakam,$42176400,$45550512,$188950272
Pat Connaughton,$9423869,$9423869,$9423869
Patrick Baldwin Jr.,$2448840,,$2448840
Patrick Williams,$18000000,$18000000,$72000000
Patty Mills,$2087519,,$2087519
Paul George,$49205800,$51666090,$154998270
Paul Reed,$3913234,,$3913234
Payton Pritchard,$6696429,$7232143,$30000000
Pelle Larsson,$1157153,$1955377,$1157153
Peyton Watson,$2413560,$4356476,$6770036
Precious Achiuwa,$6000000,,$6000000
Quentin Grimes,$4296682,,$4296682
Quinten Post,$438920,$1955377,$438920
